iter	RMSE
0	62279924.96
1	60071083.73
2	58126648.33
3	56495863.75
4	54811326.14
5	53088467.22
6	51418830.23
7	49863035.56
8	48374961.11
9	47176133.5
10	45874219.56
11	44682717.31
12	43614725.33
13	42601171.51
14	41581253.7
15	40491719.39
16	39525129.62
17	38500065.17
18	37714644.27
19	36879255.17
20	36136046.83
21	35357684.16
22	34420316.3
23	33705170.52
24	33121051.65
25	32531684.07
26	31977444.66
27	31441891.36
28	30923552.43
29	30318089.33
30	29820409.42
31	29372673.8
32	28955797.28
33	28446486.88
34	27985294.91
35	27589786.08
36	27180324.41
37	26819347.98
38	26397507.55
39	25966263.43
40	25561532.8
41	25131139.21
42	24722289.69
43	24384287.84
44	23993017.51
45	23618413.77
46	23341127.45
47	23034577.16
48	22753693.97
49	22523145.66
50	22224542.19
51	21979079.64
52	21724367.27
53	21550457.15
54	21278181.86
55	21046938.64
56	20815811.4
57	20606641.2
58	20333377.6
59	20067286.88
60	19857937.54
61	19738860.16
62	19520532.63
63	19247980.73
64	19018436.59
65	18871491.84
66	18699791.49
67	18448084.46
68	18259675.82
69	18166321.19
70	17976219.36
71	17813078.62
72	17694408.93
73	17516494.91
74	17338310.99
75	17163605.69
76	16979116.01
77	16816463.45
78	16644036.01
79	16596312.29
80	16428688.57
81	16249650.93
82	16100406.88
83	15992812.83
84	15832486.68
85	15724670.21
86	15597471.76
87	15456081.71
88	15313058.59
89	15214934.63
90	15045496.55
91	14912459.7
92	14813300.52
93	14670119.41
94	14577729.85
95	14485199.7
96	14394735.81
97	14257902.59
98	14134950.94
99	14017323.92
100	13917320.36
101	13790762.5
102	13716481.5
103	13601647.25
104	13486084.83
105	13390743.94
106	13336036.6
107	13259959.52
108	13167871.36
109	13137207.94
110	13067112.55
111	12970021
112	12882262.09
113	12798306.2
114	12735072.01
115	12692535.3
116	12628362.99
117	12539642.25
118	12448219.29
119	12334006.93
120	12319342.14
121	12240097.54
122	12189302.12
123	12110460.02
124	12076789.65
125	12021553.01
126	11943919.21
127	11899266.08
128	11887372.54
129	11807179.41
130	11761552.8
131	11703408.52
132	11632024.12
133	11582039.33
134	11501554.01
135	11392968.29
136	11340363.04
137	11292812.97
138	11242342.98
139	11160824.61
140	11131747.56
141	11112739.03
142	11049001.29
143	10979280.98
144	10958710.35
145	10897102.97
146	10887263.63
147	10851035.19
148	10761314.75
149	10713222.06
150	10695964.3
151	10625410.36
152	10581917.16
153	10502138.92
154	10450453.08
155	10433221.74
156	10412308.34
157	10372129.5
158	10346979.83
159	10291931.76
160	10242690.58
161	10201260.45
162	10168994.21
163	10102947.12
164	10023481.78
165	9999697.941
166	9986514.029
167	9939495.487
168	9864087.042
169	9809162.695
170	9775292.503
171	9737460.625
172	9717611.6
173	9678327.907
174	9648660.615
175	9633579.512
176	9599128.735
177	9516186.551
178	9444428.44
179	9386452.442
180	9372244.123
181	9313408.841
182	9289156.646
183	9263221.537
184	9250313.757
185	9221410.05
186	9176085.994
187	9160287.922
188	9122372.794
189	9083606.687
190	9062956.021
191	9005473.224
192	8972058.126
193	8959597.952
194	8901360.847
195	8860907.722
196	8834077.383
197	8786453.288
198	8748556.866
199	8717863.552
200	8692258.846
201	8663179.886
202	8634867.342
203	8613650.162
204	8564993.495
205	8535153.344
206	8508683.124
207	8452127.377
208	8433997.034
209	8412505.192
210	8391038.716
211	8371705.954
212	8346554.655
213	8314603.552
214	8296563.425
215	8257622.428
216	8215384.088
217	8176539.684
218	8161762.104
219	8121879.198
220	8079725.89
221	8043581.712
222	8015201.368
223	7998868.125
224	7968387.782
225	7948245.188
226	7909385.738
227	7890222.041
228	7855157.329
229	7837802.864
230	7798842.131
231	7768989.514
232	7745050.834
233	7707311.044
234	7682180.193
235	7661979.719
236	7649501.962
237	7622273.025
238	7590718.405
239	7572765.307
240	7551019.241
241	7529552.319
242	7505705.362
243	7476267.123
244	7453171.755
245	7429816.039
246	7408326.76
247	7376630.527
248	7353051.74
249	7326698.187
250	7312977.798
251	7295134.027
252	7274481.787
253	7246676.239
254	7232605.71
255	7194776.42
256	7168517.999
257	7145208.505
258	7120022.238
259	7104405.273
260	7094958.844
261	7072893.747
262	7055126.602
263	7007607.413
264	6988858.185
265	6964501.625
266	6946107.68
267	6927588.323
268	6886859.198
269	6871823.217
270	6841177.154
271	6818155.763
272	6795358.861
273	6783915.806
274	6755266.037
275	6732062.005
276	6709157.262
277	6692536.826
278	6676585.801
279	6655848.693
280	6633768.332
281	6613961.656
282	6590189.895
283	6572250.364
284	6551503.313
285	6525311.186
286	6516455.406
287	6484092.103
288	6452518.864
289	6443846.363
290	6417198.617
291	6400655.442
292	6386042.742
293	6373317.966
294	6364975.881
295	6359614.011
296	6301572.363
297	6268187.915
298	6240996.96
299	6190966.08
300	6147349.603
301	6115846.501
302	6086786.947
303	6065592.459
304	6040473.497
305	6011824.536
306	5999240.35
307	5982453.901
308	5932809.516
309	5919095.995
310	5906533.21
311	5894264.75
312	5881815.098
313	5847879.607
314	5824497.407
315	5809754.321
316	5802947.804
317	5790863.679
