iter	Passed	Remaining
0	191	765441
1	259	518771
2	326	435455
3	397	396810
4	467	373923
5	531	353912
6	597	341037
7	663	330868
8	727	322787
9	793	316604
10	858	311174
11	924	307335
12	990	303709
13	1056	300926
14	1125	299078
15	1192	296878
16	1259	294984
17	1328	293906
18	1410	295569
19	1499	298445
20	1578	299092
21	1649	298200
22	1719	297350
23	1791	296732
24	1863	296262
25	1931	295204
26	1994	293483
27	2064	292839
28	2132	291974
29	2196	290662
30	2260	289445
31	2299	285187
32	2366	284444
33	2432	283750
34	2496	282842
35	2562	282214
36	2628	281527
37	2693	280841
38	2757	280103
39	2820	279204
40	2883	278414
41	2946	277659
42	3010	277035
43	3076	276570
44	3139	275908
45	3202	275293
46	3267	274785
47	3334	274508
48	3398	274049
49	3462	273554
50	3527	273124
51	3591	272689
52	3657	272384
53	3726	272282
54	3790	271857
55	3853	271421
56	3917	271012
57	3981	270627
58	4045	270206
59	4109	269878
60	4173	269478
61	4269	271181
62	4334	270886
63	4398	270518
64	4464	270256
65	4528	269909
66	4594	269716
67	4659	269440
68	4740	270095
69	4793	269144
70	4856	268730
71	4957	270467
72	5038	271070
73	5103	270783
74	5166	270385
75	5230	270060
76	5296	269842
77	5368	269945
78	5434	269743
79	5498	269424
80	5564	269248
81	5631	269077
82	5698	268914
83	5761	268618
84	5832	268628
85	5895	268295
86	5958	267980
87	6027	267939
88	6100	268071
89	6168	267991
90	6238	267972
91	6319	268441
92	6397	268779
93	6463	268580
94	6531	268489
95	6601	268447
96	6676	268639
97	6742	268461
98	6811	268417
99	6878	268268
100	6943	268038
101	7009	267889
102	7079	267845
103	7143	267618
104	7208	267394
105	7274	267237
106	7345	267258
107	7413	267175
108	7486	267260
109	7525	266143
110	7594	266095
111	7661	265971
112	7727	265805
113	7792	265640
114	7857	265454
115	7947	266115
116	8042	266907
117	8190	269464
118	8315	271195
119	8411	271976
120	8488	272108
121	8587	272974
122	8666	273160
123	8733	272989
124	8805	272963
125	8872	272796
126	8938	272593
127	9006	272452
128	9073	272269
129	9140	272108
130	9208	271959
131	9276	271838
132	9346	271746
133	9418	271719
134	9486	271608
135	9555	271485
136	9623	271342
137	9687	271107
138	9756	271003
139	9823	270860
140	9888	270626
141	9953	270418
142	10039	270774
143	10105	270591
144	10172	270438
145	10235	270183
146	10301	270016
147	10372	269956
148	10441	269873
149	10513	269840
150	10582	269758
151	10651	269656
152	10759	270539
153	10843	270806
154	10910	270658
155	10977	270497
156	11046	270395
157	11111	270182
158	11174	269948
159	11241	269797
160	11310	269695
161	11375	269493
162	11442	269347
163	11517	269403
164	11584	269249
165	11647	269015
166	11711	268796
167	11775	268586
168	11840	268399
169	11903	268174
170	11969	268018
171	12042	268014
172	12110	267911
173	12174	267709
174	12240	267551
175	12305	267367
176	12372	267236
177	12437	267054
178	12503	266906
179	12570	266779
180	12634	266574
181	12700	266430
182	12765	266270
183	12841	266322
184	12921	266468
185	12991	266388
186	13058	266260
187	13124	266127
188	13190	265964
189	13260	265908
190	13330	265832
191	13396	265701
192	13461	265531
193	13555	265930
194	13652	266401
195	13720	266295
196	13784	266106
197	13849	265933
198	13912	265742
199	13977	265581
200	14043	265431
201	14110	265298
202	14175	265143
203	14240	264992
204	14306	264837
205	14374	264732
206	14441	264624
207	14509	264527
208	14581	264485
209	14680	264950
210	14764	265137
211	14841	265185
212	14936	265568
213	15065	266526
214	15131	266385
215	15197	266230
216	15263	266085
217	15330	265957
218	15399	265868
219	15466	265748
220	15536	265665
221	15603	265547
222	15669	265403
223	15733	265221
224	15800	265094
225	15868	264983
226	15933	264830
227	16006	264816
228	16071	264653
229	16137	264512
230	16202	264367
231	16272	264286
232	16345	264266
233	16411	264131
234	16477	263996
235	16544	263863
236	16608	263706
237	16671	263521
238	16736	263366
239	16801	263217
240	16868	263110
241	16936	263006
242	17005	262917
243	17068	262736
244	17172	263202
245	17239	263084
246	17313	263062
247	17381	262964
248	17449	262870
249	17519	262795
250	17588	262699
251	17650	262517
252	17717	262398
253	17780	262224
254	17845	262083
255	17909	261926
256	17976	261811
257	18042	261693
258	18107	261539
259	18174	261438
260	18241	261317
261	18308	261211
262	18376	261107
263	18441	260969
264	18508	260862
265	18583	260863
266	18646	260705
267	18716	260629
268	18784	260532
269	18853	260459
270	18920	260347
271	18990	260284
272	19062	260246
273	19130	260151
274	19201	260096
275	19338	260927
276	19427	261108
277	19509	261203
278	19584	261190
279	19656	261145
280	19725	261062
281	19799	261048
282	19871	261000
283	19940	260914
284	20011	260852
285	20079	260750
286	20148	260665
287	20222	260644
288	20290	260546
289	20357	260429
290	20427	260366
