,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing
area_total,1934.0,80.95397621509824,63.666492632137896,3.0,15.933,22.0,38.0,60.0,105.0,210.0,301.0050000000001,650.0,0
area_kitchen,1067.0,15.23514526710403,9.07532642761726,2.0,4.0,5.0,9.649999999999999,14.0,20.0,30.61999999999996,50.0,78.0,867
floor,1934.0,10.493278179937953,10.847039132845289,1.0,1.0,2.0,3.0,7.0,13.0,32.0,54.0,84.0,0
floors_total,1934.0,20.807135470527406,15.824128170264007,1.0,3.0,5.0,9.0,17.0,26.0,51.34999999999991,79.0,97.0,0
year_built,1934.0,2002.448810754912,33.35234488913944,1900.0,1907.0,1927.65,2000.0,2019.0,2024.0,2027.0,2028.0,2029.0,0
dist_to_metro_m,1934.0,884.2200158309772,983.512575591248,17.08892307,112.48779793,202.18103458350004,430.91584113,666.181883525,988.76037688,2169.4021715109993,4762.910359645929,14580.48632454,0
dist_to_center_km,1934.0,9.620014518834866,7.3079718026124025,0.31861814462,1.0550923027474999,1.6160361350545,4.06774853668,7.56040144,13.1416411208425,24.184962207499495,32.92984481732609,53.19257436869,0
density_500m,1934.0,9.10651499482937,11.64285876949769,0.0,0.0,0.0,2.0,5.0,12.0,33.0,60.0,63.0,0
price_per_m2,1934.0,410421.44661840744,605398.5605395442,61.8,169.3234,1250.0,2266.39,22857.145,611743.3300000001,1481510.7699999998,2912691.174900003,5165289.26,0
price_rub,1934.0,45661771.396070324,102107914.3442651,2700.0,12000.0,51650.00000000001,95000.0,2900000.0,44000000.0,220171574.19999996,470353380.0000003,1250000000.0,0
