,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing
area_total,1085.0,59.39128110599078,51.16124443754123,10.0,13.468,20.0,33.0,44.0,68.7,147.83999999999997,267.16400000000004,650.0,3
area_kitchen,446.0,13.85605381165919,8.514555766346321,2.0,3.45,5.05,8.0,11.350000000000001,17.925,28.450000000000003,46.80500000000008,73.0,642
floor,1085.0,9.476497695852535,9.111985269162163,1.0,1.0,1.0,3.0,7.0,13.0,27.0,45.0,66.0,3
floors_total,1085.0,20.36221198156682,13.558423897019097,1.0,3.0,5.0,10.0,18.0,25.0,45.0,75.16000000000008,85.0,3
year_built,1088.0,2002.390625,33.57975285246952,1900.0,1911.74,1928.0,1990.5,2020.0,2024.0,2027.0,2028.0,2029.0,0
dist_to_metro_m,1085.0,1041.0388145391705,1217.7237389921124,17.08892307,76.4781916008,215.155120434,466.09551906,772.46902224,1110.73546565,2806.81608283,6509.593076100415,14580.48632454,3
dist_to_center_km,1085.0,11.901896156537935,7.909879067078392,0.55614572947,1.2446643262219999,2.2439167831340003,5.73099658892,10.927106514110001,16.12639506133,28.284459793089987,34.71303231599,53.19257436869,3
density_500m,1085.0,3.23963133640553,3.6238875188905393,0.0,0.0,0.0,1.0,2.0,4.0,12.0,16.0,18.0,3
price_per_m2,1085.0,330266.2675668202,479946.0056440655,800.0,947.8776,1250.0,2085.37,222222.22,514846.0,1115519.999999999,2200817.28,4584425.19,3
price_rub,1085.0,29345936.08847926,82094037.28717528,31500.0,38680.0,50000.0,80000.0,4100000.0,24480000.0,129799999.99999996,376670504.96000004,1224499968.0,3
